시도명,시군구명,읍면동명,삭제일자
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,이동면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1988-04-23
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,원삼면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,외사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,용인군,내사면,1996-03-01
경기도,안성군,,1998-04-01
경기도,안성군,안성읍,1998-04-01
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
강원도,삼척시,노곡면,
경기도,남양주군,구리읍,1988-04-23
경기도,남양주군,구리읍,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,와부면,1988-04-23
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,미금읍,1988-12-31
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1988-04-23
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,와부읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,진접읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
경기도,남양주군,화도읍,1995-01-01
